Date,Stock,Entry,SL,Target,Qty,Day,Exit,Exit Reason,Exit Date,P&L,Status
2025-01-02,EICHERMOT,5308.1,5126.89,5610.11,100,5,5126.89,SL,2025-01-09,-18479,CLOSED
2025-04-16,PATANJALI,666.93,641.26,709.71,900,5,641.26,SL,2025-04-24,-23500,CLOSED
2025-04-17,MFSL,1218.0,1170.01,1297.99,400,5,1266.4,DAY5,2025-04-25,19028,CLOSED
2025-04-17,SBIN,797.45,770.85,841.79,750,5,798.65,DAY5,2025-04-25,501,CLOSED
2025-04-24,DALBHARAT,1974.1,1881.19,2128.96,325,5,1949.5,DAY5,2025-05-02,-8420,CLOSED
2025-05-02,IOC,143.28,138.35,151.49,4875,5,138.35,SL,2025-05-09,-24475,CLOSED
2025-05-05,HINDPETRO,409.85,389.9,443.1,2025,3,389.9,SL,2025-05-08,-40937,CLOSED
2025-05-05,IOC,148.56,143.5,157.0,4875,2,143.5,SL,2025-05-07,-25154,CLOSED
2025-05-09,YESBANK,20.02,18.92,21.86,31100,5,21.86,TGT,2025-05-16,56733,CLOSED
2025-05-09,TITAN,3510.3,3394.28,3703.68,175,5,3633.7,DAY5,2025-05-16,21186,CLOSED
2025-05-14,ABCAPITAL,218.33,206.65,237.8,3100,5,221.46,DAY5,2025-05-21,9257,CLOSED
2025-05-22,MFSL,1414.0,1364.18,1497.04,400,4,1497.04,TGT,2025-05-28,32835,CLOSED
2025-05-23,MFSL,1470.0,1417.26,1557.89,400,5,1502.7,DAY5,2025-05-30,12687,CLOSED
2025-05-30,CUMMINSIND,3268.1,3141.56,3478.99,200,5,3384.1,DAY5,2025-06-06,22768,CLOSED
2025-06-02,CDSL,1682.9,1606.87,1809.61,475,4,1809.61,TGT,2025-06-06,59670,CLOSED
2025-06-02,PRESTIGE,1539.6,1468.98,1657.3,450,4,1657.3,TGT,2025-06-06,52508,CLOSED
2025-06-06,HDFCAMC,2543.75,2453.16,2694.73,300,5,2484.6,DAY5,2025-06-13,-18243,CLOSED
2025-06-06,SHRIRAMFIN,688.25,658.97,737.04,825,5,658.97,SL,2025-06-13,-24534,CLOSED
2025-06-06,SBICARD,993.1,961.68,1045.47,800,5,1007.0,DAY5,2025-06-13,10603,CLOSED
2025-06-16,PIIND,4146.5,4000.31,4390.14,175,5,4152.2,DAY5,2025-06-23,522,CLOSED
2025-06-18,INDUSINDBK,850.5,820.82,899.96,700,5,829.8,DAY5,2025-06-25,-14887,CLOSED
2025-06-27,SRF,3174.8,3078.24,3335.73,200,5,3230.5,DAY5,2025-07-04,10719,CLOSED
2025-07-01,IDFCFIRSTB,77.24,74.81,81.3,9275,5,77.86,DAY5,2025-07-08,5281,CLOSED
2025-07-03,MOTILALOFS,929.1,889.22,995.57,775,5,940.0,DAY5,2025-07-10,7975,CLOSED
2025-07-10,GLENMARK,1904.0,1833.69,2021.18,375,1,2021.18,TGT,2025-07-11,43474,CLOSED
2025-07-17,HDFCAMC,2755.0,2666.96,2901.73,300,5,2781.5,DAY5,2025-07-24,7414,CLOSED
2025-07-23,PAYTM,1071.15,1025.16,1147.8,725,5,1068.2,DAY5,2025-07-30,-2645,CLOSED
2025-07-28,LAURUSLABS,889.25,857.06,942.9,850,4,857.06,SL,2025-08-01,-27856,CLOSED
2025-07-29,TORNTPHARM,3768.1,3667.45,3935.85,125,3,3667.45,SL,2025-08-01,-12904,CLOSED
2025-08-18,MARUTI,14068.0,13686.25,14704.25,50,5,14452.0,DAY5,2025-08-25,18738,CLOSED
2025-08-18,TVSMOTOR,3219.7,3111.73,3399.65,175,5,3284.7,DAY5,2025-08-25,10997,CLOSED
2025-08-26,EICHERMOT,6151.0,5999.34,6403.77,100,5,6371.5,DAY5,2025-09-03,21641,CLOSED
2025-09-02,NATIONALUM,200.53,193.99,211.43,3750,3,211.43,TGT,2025-09-05,40391,CLOSED
2025-09-03,NATIONALUM,207.12,200.24,218.59,3750,5,209.13,DAY5,2025-09-10,7031,CLOSED
2025-09-19,ADANIPOWER,141.88,135.24,152.95,3550,1,152.95,TGT,2025-09-22,38949,CLOSED
2025-09-19,SAIL,136.2,131.59,143.89,4700,5,131.59,SL,2025-09-26,-22103,CLOSED
2025-09-22,ADANIGREEN,1152.15,1105.9,1229.23,600,2,1105.9,SL,2025-09-24,-28204,CLOSED
2025-09-23,ADANIENT,2594.73,2513.98,2729.31,309,2,2513.98,SL,2025-09-25,-25472,CLOSED
2025-10-06,FORTIS,1053.9,1015.3,1118.24,775,5,1095.15,DAY5,2025-10-13,31439,CLOSED
2025-10-10,YESBANK,24.0,23.21,25.31,31100,3,23.21,SL,2025-10-15,-24979,CLOSED
2025-10-20,FEDERALBNK,227.08,220.1,238.71,2500,5,235.78,DAY5,2025-10-28,21369,CLOSED
2025-10-24,HINDALCO,824.45,803.24,859.81,700,2,859.81,TGT,2025-10-28,24364,CLOSED
2025-11-12,INDUSINDBK,864.4,834.07,914.94,700,5,839.6,DAY5,2025-11-19,-17763,CLOSED
