Date,Stock,OR High,OR Low,Range%,Signal,Entry,SL,Target,Exit,Gross P&L,Charges,Net P&L,Result,Status
2026-04-29,ITC,312.55,305.1,2.41,LONG,312.55,297.65,334.9,315.4,7977,358,7619,EOD,CLOSED
2026-04-30,AXISBANK,1288.0,1264.0,1.88,SHORT,1264.0,1312.0,1192.0,1272.1,-5605,358,-5963,EOD,CLOSED
2026-05-06,BAJFINANCE,980.45,965.0,1.59,LONG,980.45,949.55,1026.8,972.45,-7136,358,-7494,EOD,CLOSED
2026-05-11,SBIN,1007.0,984.2,2.29,SHORT,984.2,1029.8,915.8,979.6,4089,358,3731,EOD,CLOSED
2026-05-12,TCS,2375.0,2313.3,2.63,SHORT,2313.3,2436.7,2128.2,2295.9,6577,358,6219,EOD,CLOSED
2026-05-13,BHARTIARTL,1764.1,1740.5,1.35,LONG,1764.1,1716.9,1834.9,1788.0,11854,358,11496,EOD,CLOSED
2026-05-15,INFY,1130.9,1101.6,2.62,LONG,1130.9,1072.3,1218.8,1114.5,-12677,358,-13035,EOD,CLOSED
2026-05-19,ITC,314.0,311.05,0.94,SHORT,311.05,316.95,302.2,311.95,-2532,358,-2890,EOD,CLOSED
2026-05-20,INFY,1201.0,1184.9,1.35,LONG,1201.0,1168.8,1249.3,1197.8,-2330,358,-2688,EOD,CLOSED
2026-05-21,BAJFINANCE,934.9,924.1,1.16,SHORT,924.1,945.7,891.7,913.5,10028,358,9670,EOD,CLOSED
2026-05-22,ICICIBANK,1261.2,1242.0,1.53,LONG,1261.2,1222.8,1318.8,1267.7,4504,358,4146,EOD,CLOSED
