Date,Stock,OR High,OR Low,Range%,Signal,Entry,SL,Target,Exit,Gross P&L,Charges,Net P&L,Result,Status
2026-01-01,RELIANCE,1589.6,1572.3,1.09,LONG,1589.6,1555.0,1641.5,1578.8,-5940,358,-6298,EOD,CLOSED
2026-01-02,BAJFINANCE,978.0,960.6,1.8,LONG,978.0,943.2,1030.2,990.4,11086,358,10728,EOD,CLOSED
2026-01-06,ICICIBANK,1396.4,1366.0,2.2,LONG,1396.4,1335.6,1487.6,1407.4,6886,358,6528,EOD,CLOSED
2026-01-08,TCS,3286.9,3230.0,1.75,SHORT,3230.0,3343.8,3059.3,3200.4,7992,358,7634,EOD,CLOSED
2026-01-16,BHARTIARTL,2029.7,1993.2,1.81,SHORT,1993.2,2066.2,1883.7,2008.2,-6570,358,-6928,EOD,CLOSED
2026-01-20,BAJFINANCE,975.7,950.1,2.66,SHORT,950.1,1001.3,873.3,943.95,5658,358,5300,EOD,CLOSED
2026-01-22,SBIN,1052.95,1034.05,1.81,LONG,1052.95,1015.15,1109.65,1043.85,-7553,358,-7911,EOD,CLOSED
2026-01-27,AXISBANK,1308.7,1278.4,2.34,LONG,1308.7,1248.1,1399.6,1314.8,4075,358,3717,EOD,CLOSED
2026-01-29,TCS,3200.1,3152.1,1.51,SHORT,3152.1,3248.1,3008.1,3140.1,3324,358,2966,EOD,CLOSED
2026-02-03,INFY,1728.0,1678.3,2.92,SHORT,1678.3,1777.7,1529.2,1664.3,7294,358,6936,EOD,CLOSED
2026-02-09,INFY,1528.0,1501.0,1.78,SHORT,1501.0,1555.0,1420.0,1497.0,2328,358,1970,EOD,CLOSED
2026-02-10,BAJFINANCE,985.15,974.0,1.14,SHORT,974.0,996.3,940.55,968.45,4984,358,4626,EOD,CLOSED
2026-02-11,TCS,2998.0,2975.0,0.77,SHORT,2975.0,3021.0,2906.0,2922.9,15317,358,14959,EOD,CLOSED
2026-02-12,TCS,2880.0,2797.3,2.91,SHORT,2797.3,2962.7,2549.2,2749.7,14851,358,14493,EOD,CLOSED
2026-02-16,INFY,1376.0,1346.4,2.17,SHORT,1346.4,1405.6,1257.6,1345.3,714,358,356,EOD,CLOSED
2026-02-17,INFY,1394.5,1367.0,1.99,LONG,1394.5,1339.5,1477.0,1397.9,2132,358,1774,EOD,CLOSED
2026-02-18,INFY,1401.0,1362.6,2.78,SHORT,1362.6,1439.4,1247.4,1374.0,-7319,358,-7677,EOD,CLOSED
2026-02-19,INFY,1398.0,1382.2,1.14,SHORT,1382.2,1413.8,1334.8,1385.3,-1962,358,-2320,EOD,CLOSED
2026-02-23,AXISBANK,1397.6,1380.2,1.25,LONG,1397.6,1362.8,1449.8,1383.1,-9077,358,-9435,EOD,CLOSED
2026-02-24,BHARTIARTL,1997.3,1945.6,2.62,SHORT,1945.6,2049.0,1790.5,1946.1,-224,358,-582,EOD,CLOSED
2026-02-25,INFY,1314.8,1286.2,2.2,LONG,1314.8,1257.6,1400.6,1295.6,-12768,358,-13126,EOD,CLOSED
2026-02-26,TCS,2668.0,2638.2,1.12,LONG,2668.0,2608.4,2757.4,2646.8,-6932,358,-7290,EOD,CLOSED
2026-02-27,INFY,1335.0,1310.7,1.84,SHORT,1310.7,1359.3,1237.8,1307.5,2134,358,1776,EOD,CLOSED
2026-03-04,BHARTIARTL,1862.0,1815.3,2.54,LONG,1862.0,1768.6,2002.1,1914.7,24716,358,24358,EOD,CLOSED
2026-03-05,RELIANCE,1378.9,1353.1,1.89,LONG,1378.9,1327.3,1456.3,1378.6,-190,358,-548,EOD,CLOSED
2026-03-09,RELIANCE,1407.0,1370.0,2.66,LONG,1407.0,1333.0,1518.0,1408.3,807,358,449,EOD,CLOSED
2026-03-11,RELIANCE,1434.0,1416.0,1.26,SHORT,1416.0,1452.0,1362.0,1398.6,10736,358,10378,EOD,CLOSED
2026-03-12,ICICIBANK,1276.7,1258.3,1.45,LONG,1276.7,1239.9,1331.9,1273.1,-2466,358,-2824,EOD,CLOSED
2026-03-13,BHARTIARTL,1805.5,1776.6,1.61,LONG,1805.5,1747.7,1892.2,1804.3,-581,358,-939,EOD,CLOSED
2026-03-17,INFY,1245.0,1218.1,2.18,SHORT,1218.1,1271.9,1137.4,1233.8,-11273,358,-11631,EOD,CLOSED
2026-03-18,TCS,2463.9,2410.0,2.21,LONG,2463.9,2356.1,2625.6,2454.9,-3195,358,-3553,EOD,CLOSED
2026-03-20,SBIN,1081.0,1058.4,2.11,LONG,1081.0,1035.8,1148.8,1064.0,-13753,358,-14111,EOD,CLOSED
2026-03-23,SBIN,1040.3,1023.0,1.68,SHORT,1023.0,1057.6,971.1,1041.4,-15732,358,-16090,EOD,CLOSED
2026-03-25,BAJFINANCE,872.7,853.3,2.25,LONG,872.7,833.9,930.9,885.95,13276,358,12918,EOD,CLOSED
2026-03-27,BAJFINANCE,875.15,857.3,2.06,SHORT,857.3,893.0,803.75,846.9,10608,358,10250,EOD,CLOSED
2026-04-01,AXISBANK,1203.8,1175.0,2.42,LONG,1203.8,1146.2,1290.2,1199.5,-3122,358,-3480,EOD,CLOSED
2026-04-06,RELIANCE,1359.0,1324.2,2.59,SHORT,1324.2,1393.8,1219.8,1304.7,12870,358,12512,EOD,CLOSED
2026-04-07,BAJFINANCE,859.0,844.45,1.71,LONG,859.0,829.9,902.65,852.3,-6821,358,-7179,EOD,CLOSED
2026-04-08,INFY,1376.9,1341.2,2.63,SHORT,1341.2,1412.6,1234.1,1342.1,-587,358,-945,EOD,CLOSED
2026-04-10,INFY,1318.9,1298.0,1.6,SHORT,1298.0,1339.8,1235.3,1290.2,5257,358,4899,EOD,CLOSED
2026-04-13,BAJFINANCE,900.95,881.1,2.23,LONG,900.95,861.25,960.5,900.6,-340,358,-698,EOD,CLOSED
2026-04-20,SBIN,1103.3,1075.85,2.52,LONG,1103.3,1048.4,1185.65,1106.35,2419,358,2061,EOD,CLOSED
2026-04-24,INFY,1223.9,1199.0,2.06,SHORT,1199.0,1248.8,1124.3,1154.9,32149,358,31791,EOD,CLOSED
