Date,Stock,Direction,OR High,OR Low,OR%,Entry,Entry Time,SL,Target,Exit,Exit Reason,P&L
2026-01-27,TATACONSUM,LONG,1166.0,1149.5,1.42,1166.0,09:43:00,1149.5,1215.5,1184.8,EOD,3125
2026-01-28,POWERGRID,LONG,257.7,254.0,1.46,257.7,09:54:00,254.0,268.8,259.75,EOD,1491
2026-01-28,DABUR,SHORT,518.0,510.6,1.44,510.6,09:37:00,518.0,488.4,515.25,EOD,-1905
2026-01-28,EICHERMOT,SHORT,7124.0,7021.5,1.44,7021.5,09:37:00,7124.0,6714.0,7066.5,EOD,-1374
2026-01-29,TCS,SHORT,3200.1,3152.1,1.5,3152.1,09:36:00,3200.1,3008.1,3143.1,EOD,473
2026-01-29,MOTHERSON,SHORT,113.0,111.33,1.48,111.33,09:36:00,113.0,106.32,113.0,SL,-3056
2026-01-29,VEDL,LONG,282.4,278.28,1.48,282.4,09:42:00,278.28,294.76,287.38,EOD,3427
2026-01-30,BRIGADE,LONG,732.2,721.6,1.45,732.2,09:36:00,721.6,764.0,751.8,EOD,5254
2026-01-30,FEDERALBNK,LONG,286.65,282.5,1.45,286.65,09:36:00,282.5,299.1,287.9,EOD,772
2026-01-30,APOLLOHOSP,LONG,6864.5,6767.0,1.44,6864.5,09:36:00,6767.0,7157.0,6950.0,EOD,2391
2026-02-01,MOTHERSON,LONG,113.0,111.35,1.46,113.0,09:44:00,111.35,117.95,111.35,SL,-3020
2026-02-01,COFORGE,SHORT,1662.5,1640.2,1.35,1640.2,09:38:00,1662.5,1573.3,1662.5,SL,-2783
2026-02-01,MARICO,LONG,733.3,723.8,1.3,733.3,09:58:00,723.8,761.8,723.8,SL,-2691
2026-02-02,SOBHA,LONG,1392.3,1371.6,1.49,1392.3,09:36:00,1371.6,1454.4,1422.2,EOD,4195
2026-02-02,ALKEM,SHORT,5616.0,5535.0,1.44,5535.0,09:52:00,5616.0,5292.0,5521.0,EOD,407
2026-02-02,BALKRISIND,LONG,2294.7,2262.1,1.42,2294.7,09:54:00,2262.1,2392.5,2262.1,SL,-2941
2026-02-03,HEROMOTOCO,LONG,5768.0,5685.5,1.44,5768.0,09:36:00,5685.5,6015.5,5685.5,SL,-2961
2026-02-03,TATAPOWER,SHORT,371.6,366.6,1.36,366.6,09:45:00,371.6,351.6,365.5,EOD,502
2026-02-03,BRITANNIA,SHORT,5975.5,5900.5,1.27,5900.5,09:47:00,5975.5,5675.5,5883.0,EOD,495
2026-02-04,BAJAJ-AUTO,LONG,9712.0,9575.5,1.42,9712.0,09:49:00,9575.5,10121.5,9575.5,SL,-2911
2026-02-04,BOSCHLTD,LONG,37975.0,37465.0,1.35,37975.0,09:36:00,37465.0,39505.0,37465.0,SL,-2786
2026-02-04,BANKBARODA,LONG,286.0,282.25,1.31,286.0,09:50:00,282.25,297.25,291.6,EOD,3816
2026-02-05,DLF,SHORT,660.0,650.25,1.48,650.25,09:38:00,660.0,621.0,660.0,SL,-3055
2026-02-05,BHARATFORG,SHORT,1599.0,1576.1,1.43,1576.1,09:42:00,1599.0,1507.4,1572.5,EOD,358
2026-02-05,PRESTIGE,SHORT,1525.0,1503.6,1.4,1503.6,09:36:00,1525.0,1439.4,1525.0,SL,-2907
2026-02-06,LUPIN,SHORT,2214.0,2181.2,1.48,2181.2,09:37:00,2214.0,2082.8,2172.3,EOD,719
2026-02-06,BHARATFORG,SHORT,1573.7,1551.1,1.44,1551.1,09:37:00,1573.7,1483.3,1557.4,EOD,-909
2026-02-06,DRREDDY,SHORT,1248.9,1231.4,1.41,1231.4,09:36:00,1248.9,1178.9,1240.4,EOD,-1551
2026-02-09,INDUSINDBK,LONG,914.0,900.35,1.5,914.0,09:55:00,900.35,954.95,927.8,EOD,2920
2026-02-09,DRREDDY,LONG,1260.8,1243.5,1.37,1260.8,09:36:00,1243.5,1312.7,1274.3,EOD,2041
2026-02-09,TCS,SHORT,2977.0,2938.0,1.32,2938.0,09:37:00,2977.0,2821.0,2943.8,EOD,-494
2026-02-10,ONGC,LONG,270.9,267.0,1.46,270.9,09:36:00,267.0,282.6,272.1,EOD,786
2026-02-10,BOSCHLTD,LONG,35670.0,35200.0,1.32,35670.0,09:46:00,35200.0,37080.0,35645.0,EOD,-240
2026-02-10,MPHASIS,LONG,2633.9,2600.7,1.26,2633.9,09:42:00,2600.7,2733.5,2614.9,EOD,-1543
2026-02-11,CANBK,SHORT,147.34,145.21,1.45,145.21,09:36:00,147.34,138.82,145.48,EOD,-471
2026-02-11,M&M,LONG,3729.7,3678.0,1.4,3729.7,09:36:00,3678.0,3884.8,3678.0,SL,-2872
2026-02-11,IOC,LONG,179.3,176.82,1.39,179.3,09:45:00,176.82,186.74,181.44,EOD,2287
2026-02-12,BIOCON,LONG,377.4,371.8,1.48,377.4,09:53:00,371.8,394.2,371.8,SL,-3068
2026-02-12,EICHERMOT,LONG,7865.0,7760.0,1.35,7865.0,09:45:00,7760.0,8180.0,7945.0,EOD,1934
2026-02-12,OBEROIRLTY,SHORT,1578.9,1558.3,1.31,1558.3,09:45:00,1578.9,1496.5,1571.0,EOD,-1717
2026-02-13,BANKINDIA,SHORT,164.45,162.04,1.47,162.04,09:36:00,164.45,154.81,161.98,EOD,-26
2026-02-13,JSWSTEEL,SHORT,1247.8,1229.9,1.44,1229.9,09:36:00,1247.8,1176.2,1236.7,EOD,-1200
2026-02-13,DIVISLAB,LONG,6141.5,6054.0,1.42,6141.5,09:45:00,6054.0,6404.0,6174.0,EOD,958
