Date,OR High,OR Low,Range,Signal,Entry,SL,Target,Exit,Gross P&L,Charges,Net P&L,Result,Status,Source
2026-05-06,24245.3,24096.5,148.8,SHORT,24096.5,24245.3,23873.3,24245.3,-9672,912,-10584,SL HIT,CLOSED,BACKTEST
2026-05-07,24418.9,24300.7,118.2,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-05-08,24253.4,24138.9,114.5,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-05-11,23975.8,23864.3,111.5,SHORT,23864.3,23975.8,23697.0,23975.8,-7248,912,-8160,SL HIT,CLOSED,BACKTEST
2026-05-12,23754.2,23614.0,140.2,SHORT,23614.0,23754.2,23403.7,23403.7,13669,912,12757,TARGET,CLOSED,BACKTEST
2026-05-13,23503.2,23263.1,240.1,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-05-14,23589.2,23447.5,141.7,SHORT,23447.5,23589.2,23235.0,23589.2,-9211,912,-10123,SL HIT,CLOSED,BACKTEST
2026-05-15,23836.4,23663.8,172.6,,,,,,0,0,0,NO BREAKOUT,CLOSED,BACKTEST
2026-05-18,23485.8,23317.6,168.2,LONG,23485.8,23317.6,23738.1,23634.6,9672,912,8760,EOD EXIT,CLOSED,BACKTEST
2026-05-19,23768.4,23647.9,120.5,LONG,23768.4,23647.9,23949.2,23647.9,-7832,912,-8744,SL HIT,CLOSED,BACKTEST
2026-05-20,23548.5,23403.8,144.7,LONG,23548.5,23403.8,23765.5,23667.8,7754,912,6842,EOD EXIT,CLOSED,BACKTEST
